PK,FK_STAFF,Date,FK_LOCATION,Comment,,,,,,,
1,,9/19/17,1,N/A; 19.09.2017; Germany,,,,,,,
2,1,2/17/20,1,Afrizal Afrizal; 17.02.2020; Germany,,,,,,,
3,1,6/1/20,1,Afrizal Afrizal; 01.06.2020; Germany,,,,,,,
4,1,7/17/20,1,Afrizal Afrizal; 17.07.2020; Germany,,,,,,,
5,1,9/22/20,1,Afrizal Afrizal; 22.09.2020; Germany,,,,,,,
6,1,11/8/20,1,Afrizal Afrizal; 08.11.2020; Germany,,,,,,,
7,1,11/23/20,1,Afrizal Afrizal; 23.11.2020; Germany,,,,,,,
8,1,,1,Afrizal Afrizal; N/A; Germany,,,,,,,
9,,,1,N/A; N/A; Germany,,,,,,,
10,,,2,N/A; N/A; United Kingdom,,,,,,,
