PK,FK_TAX_FAM,FK_TAX_GEN,FK_TAX_SPE,Comment,,,,,,,,
1,,66,53,Acidaminococcaceae; Phascolarctobacterium; faecium,,,,,,,,
2,,64,2,Atopobiaceae; Parolsenella; sp. nov,,,,,,,,
3,,60,149,Atopobiaceae; Olsenella; faecalis,,,,,,,,
4,,12,2,Bacillaceae; Bacillus; sp. nov,,,,,,,,
5,,13,2,Bacteroidaceae; Bacteroides; sp. nov,,,,,,,,
6,,13,23,Bacteroidaceae; Bacteroides; caccae,,,,,,,,
7,,13,29,Bacteroidaceae; Bacteroides; cellulolyticus,,,,,,,,
8,,13,30,Bacteroidaceae; Bacteroides; cellulosilyticus,,,,,,,,
9,,13,39,Bacteroidaceae; Bacteroides; coprocola,,,,,,,,
10,,13,52,Bacteroidaceae; Bacteroides; faecis,,,,,,,,
11,,13,61,Bacteroidaceae; Bacteroides; fragilis,,,,,,,,
12,,13,62,Bacteroidaceae; Bacteroides; galacturonicus,,,,,,,,
13,,13,78,Bacteroidaceae; Bacteroides; intestinalis,,,,,,,,
14,,13,99,Bacteroidaceae; Bacteroides; ovatus,,,,,,,,
15,,13,121,Bacteroidaceae; Bacteroides; salyersiae,,,,,,,,
16,,13,1,Bacteroidaceae; Bacteroides; sp.,,,,,,,,
17,,,,,,,,,,,,
18,,13,127,Bacteroidaceae; Bacteroides; stercoris,,,,,,,,
19,,13,132,Bacteroidaceae; Bacteroides; thetaiotaomicron,,,,,,,,
20,,13,136,Bacteroidaceae; Bacteroides; uniformis,,,,,,,,
21,,13,146,Bacteroidaceae; Bacteroides; xylanisolvens,,,,,,,,
22,,67,43,Bacteroidaceae; Phocaeicola; dorei,,,,,,,,
23,,67,57,Bacteroidaceae; Phocaeicola; fibrisolvens,,,,,,,,
24,,67,90,Bacteroidaceae; Phocaeicola; massiliensis,,,,,,,,
25,,67,141,Bacteroidaceae; Phocaeicola; vulgatus,,,,,,,,
26,,14,79,Barnesiellaceae; Barnesiella; intestinihominis,,,,,,,,
27,,14,111,﻿Barnesiellaceae; ﻿Barnesiella; ﻿propionica,,,,,,,,
28,,15,6,Bifidobacteriaceae; Bifidobacterium; adolescentis,,,,,,,,
29,,15,16,Bifidobacteriaceae; Bifidobacterium; animalis,,,,,,,,
30,,15,18,Bifidobacteriaceae; Bifidobacterium; bifidum,,,,,,,,
31,,15,26,Bifidobacteriaceae; Bifidobacterium; catenulatum,,,,,,,,
32,,15,50,Bifidobacteriaceae; Bifidobacterium; faecale,,,,,,,,
33,,15,88,Bifidobacteriaceae; Bifidobacterium; longum,,,,,,,,
34,,15,1,Bifidobacteriaceae; Bifidobacterium; sp.,,,,,,,,
35,7,2,,Clostridiaceae; gen. nov,,,,,,,,
36,,6,11,﻿Clostridiaceae; ﻿Agathobaculum; ﻿ammoniilyticum,,,,,,,,
37,,23,76,Clostridiaceae; Clostridium; innocuum,,,,,,,,
38,,23,2,Clostridiaceae; Clostridium; sp. nov,,,,,,,,
39,,24,7,Coriobacteriaceae; Collinsella; aerofaciens,,,,,,,,
40,,26,107,Desulfovibrionaceae; Desulfovibrio; piger,,,,,,,,
41,,16,143,Desulfovibrionaceae; Bilophila; wadsworthia,,,,,,,,
42,10,2,,Eggerthellaceae; gen. nov,,,,,,,,
43,,74,15,Eggerthellaceae; Senegalimassilia; anaerobia,,,,,,,,
44,,3,48,Eggerthellaceae; Adlercreutzia; equolifaciens; ,,,,,,,,
45,,30,86,Eggerthellaceae; Eggerthella; lenta,,,,,,,,
46,,34,35,Enterobacteriaceae; Escherichia; coli,,,,,,,,
47,,34,54,Enterobacteriaceae; Escherichia; fergusonii,,,,,,,,
48,,34,1,Enterobacteriaceae; Escherichia; sp.,,,,,,,,
49,,33,149,Enterococcaceae; Enterococcus; faecalis,,,,,,,,
50,,23,11,﻿Erysipelotrichaceae; ﻿Clostridium; ﻿ammoniilyticum,,,,,,,,
51,,36,52,Erysipelotrichaceae; Faecalibacillus; faecis,,,,,,,,
52,,36,78,Erysipelotrichaceae; Faecalibacillus; intestinalis,,,,,,,,
53,,23,114,Erysipelotrichaceae; Clostridium; ramosum,,,,,,,,
54,14,2,,Eubacteriaceae; gen. nov,,,,,,,,
55,,35,46,Eubacteriaceae; Eubacterium; eligens,,,,,,,,
56,,35,123,Eubacteriaceae; Eubacterium; siraeum,,,,,,,,
57,,35,138,Eubacteriaceae; Eubacterium; ventriosum,,,,,,,,
58,,43,60,Hyphomicrobiaceae; Gemmiger; formicilis,,,,,,,,
59,,5,115,Lachnospiraceae; Agathobacter; rectalis,,,,,,,,
60,,90,1,Lachnospiraceae; Agathobaculum; sp.,,,,,,,,
61,,8,3,Lachnospiraceae; ﻿Alitiscatomonas; ﻿aceti,,,,,,,,
62,,9,68,Lachnospiraceae; Anaerobutyricum; hallii,,,,,,,,
63,,9,1,Lachnospiraceae; Anaerobutyricum; sp (To be confirmed),,,,,,,,
64,,10,14,Lachnospiraceae; ﻿Anaerostipes; ﻿amylophilus,,,,,,,,
65,,10,23,Lachnospiraceae; Anaerostipes; caccae,,,,,,,,
66,,10,66,Lachnospiraceae; Anaerostipes; hadrus,,,,,,,,
67,,11,3,Lachnospiraceae; ﻿Anthropogastromicrobium; ﻿aceti,,,,,,,,
68,,17,5,Lachnospiraceae; ﻿Blautia; acetigignens,,,,,,,,
69,,17,10,Lachnospiraceae; Blautia; ammoniilytica,,,,,,,,
70,,17,69,Lachnospiraceae; Blautia; hansenii,,,,,,,,
71,,17,96,Lachnospiraceae; Blautia; obeum,,,,,,,,
72,,17,1,Lachnospiraceae; Blautia; sp.,,,,,,,,
73,,17,2,Lachnospiraceae; Blautia; sp. nov,,,,,,,,
74,,17,145,Lachnospiraceae; Blautia; wexlerae,,,,,,,,
75,,18,10,Lachnospiraceae; ﻿Bovifimicola; ﻿ammoniilytica,,,,,,,,
76,,19,5,Lachnospiraceae; ﻿Brotolimicola; ﻿acetigignens,,,,,,,,
77,,21,10,Lachnospiraceae; Brotonthovivens; ammoniilytica,,,,,,,,
78,,23,128,Lachnospiraceae; Clostridium; symbiosum,,,,,,,,
79,,25,3,Lachnospiraceae; ﻿Coprococcus; ﻿aceti,,,,,,,,
80,,25,150,Lachnospiraceae; ﻿Coprococcus; ﻿ammoniilyticus,,,,,,,,
81,,25,36,Lachnospiraceae; Coprococcus; comes,,,,,,,,
82,,25,2,Lachnospiraceae; Coprococcus; sp. nov,,,,,,,,
83,,25,49,Lachnospiraceae; Coprococcus; eutactus,,,,,,,,
84,,28,4,Lachnospiraceae; ﻿Dorea; ﻿acetigenes,,,,,,,,
85,,28,10,Lachnospiraceae; Dorea; ammoniilytica,,,,,,,,
86,,28,13,Lachnospiraceae; ﻿Dorea; ﻿amylophila,,,,,,,,
87,,28,59,Lachnospiraceae; Dorea; formicigenerans,,,,,,,,
88,,28,87,Lachnospiraceae; Dorea; longicatena,,,,,,,,
89,,29,144,Lachnospiraceae; Dysosmobacter (Oscillibacter); welbionis (sp. nov.),,,,,,,,
