PK,FK_ISOLATE_ONE,FK_ISOLATE_TWO,Comment
1,159,183,Phascolarctobacterium; faecium
2,97,140,Bacteroides; cellulosilyticus
3,21,281,Bacteroides; fragilis
4,91,171,Bacteroides; galacturonicus
5,91,259,Bacteroides; galacturonicus
6,16,46,Bacteroides; ovatus
7,16,261,Bacteroides; ovatus
8,15,109,Bacteroides; thetaiotaomicron
9,15,284,Bacteroides; thetaiotaomicron
10,144,262,Bacteroides; uniformis
11,144,263,Bacteroides; uniformis
12,8,179,Phocaeicola; dorei
13,8,188,Phocaeicola; dorei
14,8,286,Phocaeicola; dorei
15,42,43,Phocaeicola; vulgatus
16,42,44,Phocaeicola; vulgatus
17,42,45,Phocaeicola; vulgatus
18,42,134,Phocaeicola; vulgatus
19,42,169,Phocaeicola; vulgatus
20,42,264,Phocaeicola; vulgatus
21,42,285,Phocaeicola; vulgatus
22,60,93,Barnesiella; intestinihominis
23,6,280,Bifidobacterium; adolescentis
24,10,136,Bifidobacterium; longum
25,10,267,Bifidobacterium; longum
26,10,268,Bifidobacterium; longum
27,59,203,Clostridium; sp. nov (99.93%)
28,67,269,Collinsella; aerofaciens
29,67,270,Collinsella; aerofaciens
30,67,293,Collinsella; aerofaciens
31,67,294,Collinsella; aerofaciens
32,67,295,Collinsella; aerofaciens
33,67,296,Collinsella; aerofaciens
34,67,297,Collinsella; aerofaciens
35,67,298,Collinsella; aerofaciens
36,67,299,Collinsella; aerofaciens
37,67,300,Collinsella; aerofaciens
38,67,301,Collinsella; aerofaciens
39,67,302,Collinsella; aerofaciens
40,74,163,Bilophila; wadsworthia
41,80,182,Adlercreutzia; equolifaciens; 
42,14,210,Eggerthella; lenta
43,14,283,Eggerthella; lenta
44,244,246,Clostridium; ﻿ammoniilyticum
45,244,247,Clostridium; ﻿ammoniilyticum
46,57,273,Eubacterium; siraeum
47,181,206,Gemmiger; formicilis
48,28,174,Agathobacter; rectalis
49,28,211,Agathobacter; rectalis
50,28,278,Agathobacter; rectalis
51,11,164,Anaerostipes; hadrus
52,35,290,Blautia; obeum
53,25,175,Blautia; sp. (100%)
54,25,287,Blautia; sp. (99.86%)
55,87,143,Blautia; sp. nov (99.72%)
56,139,156,Blautia; sp. nov (99.8%)
57,87,201,Blautia; sp. nov (98.62%)
58,237,240,﻿Brotolimicola; ﻿acetigignens
59,219,251,Brotonthovivens; ammoniilytica
60,52,271,Coprococcus; comes
61,27,180,Dorea; formicigenerans
62,53,178,Dorea; longicatena
63,53,272,Dorea; longicatena
64,89,279,Dysosmobacter (Oscillibacter); welbionis (sp. nov.)
65,36,95,Eubacterium; ventriosum
66,75,102,Faecalibacterium; prausnitzii
67,75,148,Faecalibacterium; prausnitzii
68,13,149,Faecalibacterium; sp. nov (99.31%)
69,13,170,Faecalibacterium; sp. nov (99.15%)
70,13,209,Faecalibacterium; sp. nov (98.97%)
71,117,208,Faecalibacterium; sp. nov (99.51%)
72,117,153,Faecalibacterium; sp. nov (99.01%)
73,66,158,Faecalibacterium; sp. nov (99.23%)
74,66,166,Faecalibacterium; sp. nov (99.23%)
75,70,168,Fusicatenibacter; saccharivorans
76,83,191,Lachnospiraceae; gen. nov (99.59%)
77,83,103,Lachnospiraceae; gen. nov (99.79%)
78,76,161,Lachnospiraceae; gen. nov (99.93%)
79,32,207,Lachnospiraceae; gen. nov (99.73%)
80,104,141,Lachnospiraceae; gen. nov (99.86%)
81,88,186,Lachnospiraceae; gen. nov (99.38%)
82,227,239,﻿Hoministercoradaptatus; ammoniilyticus
83,49,78,Mediterraneibacter; faecis
84,248,249,﻿Muriventricola; ﻿aceti
85,212,213,Oscillibacter; acetigenes
86,50,86,Roseburia; inulinivorans
87,107,125,Roseburia; sp. nov (99.73%)
88,107,135,Roseburia; sp. nov (99.8%)
89,29,72,Ruminococcus; lactaris
90,29,197,Ruminococcus; lactaris
91,82,177,Ruminococcus; torques
92,142,189,Ruminococcus; bromii
93,142,276,Ruminococcus; bromii
94,31,113,Odoribacter; splanchnicus
95,31,253,Odoribacter; splanchnicus
96,20,254,Alistipes; onderdonkii
97,20,255,Alistipes; onderdonkii
98,256,257,Alistipes; putredinis
99,12,277,Streptococcus; sp. (99.66%)
100,112,252,Parabacteroides; distasonis
101,128,275,Parabacteroides; merdae
102,162,282,Veillonella; sp. (98.93%)
