PK,FK_rRNA,FK_TAX_FAM,FK_TAX_GEN,FK_TAX_SPE,Comment
1,143,,66,53,
2,167,,66,53,
3,103,,64,2,
4,105,,60,149,
5,3,,12,2,
6,32,,13,2,
7,99,,13,2,
8,117,,13,2,
9,86,,13,30,
10,124,,13,30,
11,87,,13,39,
12,225,,13,61,
13,80,,13,62,
14,155,,13,62,
15,203,,13,62,
16,204,,13,78,
17,205,,13,99,
18,88,,13,121,
19,57,,13,1,
20,14,,13,132,
21,98,,13,132,
22,128,,13,136,
23,206,,13,136,
24,207,,13,136,
25,16,,13,146,
26,7,,67,43,
27,163,,67,43,
28,172,,67,43,
29,228,,67,43,
30,156,,67,90,
31,118,,67,141,
32,153,,67,141,
33,208,,67,141,
34,49,,14,79,
35,82,,14,79,
36,224,,15,6,
37,210,,15,16,
38,106,,15,18,
39,209,,15,50,
40,9,,15,88,
41,120,,15,88,
42,211,,15,88,
43,212,,15,88,
44,157,,15,1,
45,182,,15,1,
46,149,7,2,,
47,183,7,2,,
48,184,7,2,,
49,151,,23,76,
50,48,,23,2,
51,187,,23,2,
52,56,,24,7,
53,213,,24,7,
54,214,,24,7,
55,233,,24,7,
56,234,,24,7,
57,235,,24,7,
58,236,,24,7,
59,237,,24,7,
60,238,,24,7,
61,239,,24,7,
62,240,,24,7,
63,241,,24,7,
64,242,,24,7,
65,109,,26,107,
66,63,,16,143,
67,147,,16,143,
68,15,10,2,,
69,230,,74,15,
70,69,,3,48,
71,166,,3,48,
72,13,,30,86,
73,194,,30,86,
74,227,,30,86,
75,2,,34,54,
76,136,,34,1,
77,5,,33,149,
78,121,,36,52,
79,144,,36,78,
80,180,,23,114,
81,73,14,2,,
82,90,,35,46,
83,46,,35,123,
84,217,,35,123,
85,165,,43,60,
86,190,,43,60,
87,22,,5,115,
88,158,,5,115,
89,195,,5,115,
90,222,,5,115,
91,40,,90,1,
92,110,,9,68,
93,68,,9,1,
94,113,,10,23,
95,10,,10,66,
96,148,,10,66,
97,139,,17,69,
98,29,,17,96,
99,232,,17,96,
100,19,,17,1,
101,159,,17,1,
102,229,,17,1,
103,231,,17,1,
104,43,,17,2,
105,44,,17,2,
106,54,,17,2,
107,76,,17,2,
108,100,,17,2,
109,123,,17,2,
110,127,,17,2,
111,140,,17,2,
112,185,,17,2,
113,178,,17,145,
114,66,,23,128,
115,41,,25,36,
116,215,,25,36,
117,20,,25,2,
118,53,,25,2,
119,79,,25,2,
120,70,,25,49,
121,21,,28,59,
122,164,,28,59,
123,42,,28,87,
124,162,,28,87,
125,216,,28,87,
126,78,,29,144,
127,223,,29,144,
128,34,,31,129,
129,6,,32,32,
130,179,,32,34,
131,30,,35,138,
132,84,,35,138,
133,64,,37,109,
134,91,,37,109,
135,132,,37,109,
136,12,,37,2,
137,55,,37,2,
138,104,,37,2,
139,133,,37,2,
140,137,,37,2,
141,142,,37,2,
142,150,,37,2,
143,154,,37,2,
144,189,,37,2,
145,192,,37,2,
146,193,,37,2,
147,177,,39,135,
148,129,,40,108,
149,59,,41,118,
150,152,,41,118,
151,58,,43,1,
152,171,16,1,1,
153,26,16,2,,
154,28,16,2,,
155,45,16,2,,
156,47,16,2,,
157,50,16,2,,
158,60,16,2,,
159,65,16,2,,
160,72,16,2,,
161,74,16,2,,
162,77,16,2,,
163,81,16,2,,
164,92,16,2,,
165,93,16,2,,
166,95,16,2,,
167,115,16,2,,
168,116,16,2,,
169,122,16,2,,
170,125,16,2,,
171,130,16,2,,
172,134,16,2,,
173,141,16,2,,
174,145,16,2,,
175,170,16,2,,
176,174,16,2,,
177,175,16,2,,
178,191,16,2,,
179,1,,47,70,
180,107,,48,2,
181,160,,49,46,
182,51,,49,103,
183,94,,49,2,
184,186,,50,2,
185,8,,51,101,
186,24,,51,117,
187,114,,53,17,
188,38,,54,52,
189,67,,54,52,
190,37,,54,2,
191,18,,70,52,
192,135,,70,78,
193,39,,70,80,
194,75,,70,80,
195,96,,70,2,
196,112,,70,2,
197,119,,70,2,
198,23,,71,84,
199,61,,71,84,
200,181,,71,84,
201,31,,71,2,
202,108,,71,2,
203,168,,71,2,
204,71,,71,134,
205,161,,71,134,
206,126,,71,20,
207,173,,71,20,
208,220,,71,20,
209,176,,71,64,
210,36,,72,85,
211,25,,59,126,
212,102,,59,126,
213,197,,59,126,
214,89,,22,140,
215,131,,62,133,
216,111,,65,83,
217,52,22,2,,
218,97,,89,33,
219,27,,69,38,
220,85,,7,77,
221,17,,7,97,
222,198,,7,97,
223,199,,7,97,
224,200,,7,113,
225,201,,7,113,
226,202,,7,122,
227,33,,73,95,
228,4,,75,1,
229,11,,76,1,
230,221,,76,1,
231,169,,56,92,
232,62,,79,142,
233,138,,63,2,
234,101,,63,42,
235,196,,63,42,
236,218,,63,65,
237,219,,63,91,
238,188,,27,72,
239,35,,55,73,
240,83,,27,81,
241,146,,81,1,
242,226,,81,1,
