StrainID	Species	Old ID	StrainInfo doi	Phylum	Family	Growth atm.	Recommended medium for growth	Incubation time	Risk Group	Geographic location	Host disease status	Host age class	Sample material	Date of isolation (JJJJ-MM-DD)	genome_md5	assembly_qual	genome_length	number_contig	N50	number_contig_below_1kb	max_contig_length	coverage	assembly_software	compl_score	compl_software	contam_score	contam_software	trnas	trna_ext_software	adapters_file	plasmid_length	is_compl_grtr_90	is_contam_less_5	is_coverage_grtr_10	are_contigs_less_100	is_N50_grtr_25kb	is_max_contig_grtr_100kb	is_trnas_grtr_18	is_SSU_grtr_0	is_LSU_grtr_0	is_5S_grtr_0	assembly_date	workflow_version	sequencing_technology
4716a	Phocaeicola vulgatus	External strain	10.60712/SI-ID414091.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-02-20	8432e12dff7a05f4685cf86379ac8786	Manual review: are_contigs_less_100	5151142	118	127592	351	435303	248	SPAdes	99.25	checkm	0	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	5323;4138	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
4835b	Phocaeicola vulgatus	External strain	10.60712/SI-ID414092.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-08-29	0c083cdc374bdb33e797ae62473e0e65	Manual review: are_contigs_less_100	4847755	115	101257	209	239775	39	SPAdes	99.25	checkm	0	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	6748;4981	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1-3-g95da734	Illumina MiSeq
4852a	Phocaeicola vulgatus	External strain	10.60712/SI-ID414093.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-07-24	69b1643f9a1fe76e738a54d475ad2b92	Manual review: are_contigs_less_100, is_trnas_grtr_18	4966105	155	121595	954	313632	278	SPAdes	99.25	checkm	0	checkm	18	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
4889a	Phocaeicola vulgatus	External strain	10.60712/SI-ID414094.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-09-11	61fc3f4b319138497add6ebc068b2c96	Manual review: are_contigs_less_100	5575148	260	43153	471	145866	271	SPAdes	99.25	checkm	0.75	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	6500;5909;2932;2684	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
4889b	Phocaeicola vulgatus	External strain	10.60712/SI-ID414095.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-09-11	748315a6cbd681fda4e271c14a54a771	Manual review: are_contigs_less_100	5628287	748	50154	1118	139023	103	SPAdes	99.25	checkm	0	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	66220;9472;3067;2751	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
4896a	Phocaeicola vulgatus	External strain	10.60712/SI-ID414096.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	NA	Adult	feces	2019-09-13	2e04555e634981b2cc887e7e994da2a8	Manual review: are_contigs_less_100	5373973	167	68660	167	218257	112	SPAdes	99.25	checkm	0.09	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	36145;11828;7584;5594;5397;4138	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H1	Escherichia coli	TC-ERY-DP-A	10.60712/SI-ID414097.1	Pseudomonadota	Enterobacteriaceae	Facultative anaerobe	WCA	1-2 days	2	Germany	Healthy	Adult	feces	2019-07-25	0e74a26f8fd261c7b2ae3bbb96cad110	Manual review: are_contigs_less_100, is_trnas_grtr_18	5098352	108	185524	886	460965	331	SPAdes	99.97	checkm	0.08	checkm	18	tRNAscan-SE	resources/NexteraPE-PE.fa	2519;1546;1005	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H117	Segatella sinensis	NA	10.60712/SI-ID414266.1	Bacteroidota	Bacteroidaceae	Anaerobe	GAM; YCFA;WCA;GMM	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	f97e2757f62273374f4e44c16588c6fe	Manual review: are_contigs_less_100	4135677	152	55390	170	536321	197	SPAdes	100	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H118	Odoribacter splanchnicus	NA	10.60712/SI-ID414267.1	Bacteroidota	Odoribacteraceae	Anaerobe	BHI; GMM	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	fe59dadf4b3fc4d93b585ecab361e66b	High-quality draft	4268183	76	147175	164	434248	318	SPAdes	99.46	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-21	v7.1-3-g0a89ce3	Illumina Nextseq
CLA-AA-H12	Phocaeicola dorei	TC-ERY-DP-J	10.60712/SI-ID414268.1	Bacteroidota	Bacteroidaceae	Anaerobe	WCA	1-3 days	1	Germany	Healthy	Adult	feces	2019-07-25	8e29d4158cd880f2a27b0064f0e14d2e	High-quality draft	5386853	61	200802	77	348300	206	SPAdes	99.25	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	11973;2783	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H120	Blautia obeum	NA	10.60712/SI-ID414099.1	Bacillota	Lachnospiraceae	Anaerobe	GMM;YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	68563ef6853ebeffbeaa8c2402a44791	Manual review: is_trnas_grtr_18	3733273	41	239251	78	565219	246	SPAdes	99.37	checkm	0	checkm	18	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
